City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vao,-22.6667,167.4833,77.23,82,29,11.88,NC,1616947472
Pamanukan,-6.2842,107.8106,77.88,89,35,4.0,ID,1616947473
Brasília,-15.7797,-47.9297,86.0,30,0,8.05,BR,1616947356
Port-Gentil,-0.7193,8.7815,82.4,78,40,11.5,GA,1616947336
Antsohihy,-14.8796,47.9875,76.1,93,98,2.77,MG,1616947478
Eyl,7.9803,49.8164,79.79,73,45,12.21,SO,1616947480
Maţāy,28.419,30.7792,68.07,28,0,17.72,EG,1616947485
Wajima,37.4,136.9,54.54,92,95,11.63,JP,1616947321
Praia da Vitória,38.7333,-27.0667,64.4,72,40,14.99,PT,1616947358
Keokuk,40.3973,-91.3849,44.6,57,40,20.71,US,1616947490
Nortelândia,-14.4547,-56.8028,89.4,54,49,2.15,BR,1616947492
Zhangye,38.9342,100.4517,46.24,49,15,4.7,CN,1616947494
Koumac,-20.5667,164.2833,77.97,83,27,1.99,NC,1616947496
Touros,-5.1989,-35.4608,87.8,66,40,12.66,BR,1616947498
Maralal,1.0968,36.698,69.46,47,97,12.1,KE,1616947499
Adrar,20.5022,-10.0711,98.15,4,47,10.67,MR,1616947296
Santa Rosa,14.3122,121.1114,84.2,74,20,2.3,PH,1616947504
Jardim,-21.4803,-56.1381,89.58,43,80,5.46,BR,1616947506
Botwood,49.1499,-55.3482,27.0,92,100,3.49,CA,1616947508
Balsas,-7.5325,-46.0356,88.39,53,96,3.85,BR,1616947510
Oktyabr'skoye,43.0645,44.7417,46.4,53,75,2.24,RU,1616947512
Benguela,-12.5763,13.4055,81.61,71,21,8.52,AO,1616947503
Harar,9.3094,42.1258,67.62,14,16,11.95,ET,1616947253
Antofagasta,-23.65,-70.4,73.0,63,0,10.36,CL,1616947517
Nāndūra Buzurg,20.8333,76.45,92.93,10,5,3.78,IN,1616947518
Będzin,50.3261,19.1257,50.0,40,0,16.11,PL,1616947486
Agadez,19.75,10.25,79.99,9,0,9.75,NE,1616947522
Egvekinot,66.3167,-179.1667,5.14,88,100,11.9,RU,1616947524
Bukama,-9.2,25.85,75.51,90,42,3.4,CD,1616947525
Isangel,-19.55,169.2667,76.71,87,5,5.93,VU,1616947527
Magomeni,-6.8,39.25,86.0,74,20,14.97,TZ,1616947529
Luanda,-8.8368,13.2343,87.8,58,20,12.66,AO,1616947385
Bida,9.0833,6.0167,105.91,8,25,1.7,NG,1616947532
Khvoynaya,58.9,34.5333,36.3,89,100,6.78,RU,1616947534
Tvrdošín,49.337,19.556,46.0,36,20,16.11,SK,1616947536
Pevek,69.7008,170.3133,-19.23,97,28,1.43,RU,1616947266
Marquette,46.5333,-87.6335,30.0,93,100,17.81,US,1616947539
Khadyzhensk,44.4256,39.5319,41.9,75,12,6.04,RU,1616947541
Grindavik,63.8424,-22.4338,35.6,75,20,1.14,IS,1616947543
Kongolo,-5.3833,27.0,80.22,69,32,0.4,CD,1616947545
Qaanaaq,77.484,-69.3632,-14.62,78,33,3.51,GL,1616947547
Cañon City,38.441,-105.2424,54.0,26,1,16.11,US,1616947549
Beidao,34.5686,105.8933,50.0,40,100,1.99,CN,1616947287
Vila do Maio,15.1333,-23.2167,73.4,60,20,27.63,CV,1616947552
Keetmanshoop,-26.5833,18.1333,84.2,16,3,8.05,NA,1616947554
Tacuarembó,-31.7333,-55.9833,70.92,58,12,9.73,UY,1616947556
Kutum,14.2,24.6667,76.17,12,4,17.65,SD,1616947557
Faya,18.3851,42.4509,71.6,59,0,9.22,SA,1616947559
Lompoc,34.6391,-120.4579,62.01,71,0,5.75,US,1616947561
Clarksdale,34.2001,-90.5709,59.0,47,75,18.41,US,1616947563
Wagar,16.1525,36.2032,90.41,29,0,17.83,SD,1616947565
Kruisfontein,-34.0033,24.7314,64.99,69,100,5.01,ZA,1616947567
Mīzan Teferī,6.9833,35.5833,68.95,58,92,0.36,ET,1616947568
Lokosovo,61.1333,74.8167,1.11,98,34,5.01,RU,1616947570
Kropotkin,45.4375,40.5756,46.0,70,95,10.07,RU,1616947342
Yumen,40.2833,97.2,49.05,42,50,10.16,CN,1616947574
Amapá,1.0,-52.0,78.78,91,76,4.25,BR,1616947281
Tual,-5.6667,132.75,83.37,76,100,19.28,ID,1616947577
Pushkinskiye Gory,57.0209,28.9103,38.75,96,100,2.55,RU,1616947579
Korop,51.5664,32.9586,47.34,69,56,7.11,UA,1616947581
Kenai,60.5544,-151.2583,12.2,67,1,3.44,US,1616947584
Altay,47.8667,88.1167,38.93,96,100,2.42,CN,1616947586
Pirovskoye,57.6267,92.2658,31.53,97,100,6.46,RU,1616947588
Paamiut,61.994,-49.6678,16.18,63,0,23.67,GL,1616947590
Kalmunai,7.4167,81.8167,79.3,77,94,6.55,LK,1616947592
Excelsior Springs,39.3392,-94.2261,51.01,53,1,11.5,US,1616947593
El Ángel,0.6167,-77.9333,54.7,66,85,4.41,EC,1616947595
Kouango,4.9934,19.9619,93.09,33,50,4.29,CF,1616947597
Jiuquan,39.7432,98.5174,48.56,41,9,5.64,CN,1616947599
Iquique,-20.2208,-70.1431,69.8,60,0,8.05,CL,1616947367
Severo-Kuril'sk,50.6789,156.125,25.05,77,53,13.69,RU,1616947602
Nizwá,22.9333,57.5333,87.71,8,100,7.36,OM,1616947330
Morant Bay,17.8815,-76.4093,84.2,65,20,21.85,JM,1616947607
Maceió,-9.6658,-35.7353,77.0,88,75,11.5,BR,1616947609
Shemonaīkha,50.6328,81.9056,35.1,99,100,4.12,KZ,1616947612
Baykit,61.67,96.37,15.89,99,92,1.21,RU,1616947614
Mujiayingzi,42.1167,118.7833,39.2,24,0,18.97,CN,1616947616
Yar-Sale,66.8333,70.8333,-8.61,98,11,9.51,RU,1616947618
Nuuk,64.1835,-51.7216,8.6,72,20,17.27,GL,1616947620
Los Algarrobos,8.5,-82.4333,91.4,35,20,4.61,PA,1616947622
Villa Alemana,-33.0422,-71.3733,66.2,77,40,11.5,CL,1616947623
Casambalangan,18.3765,122.1274,77.22,88,17,3.36,PH,1616947625
Haapiti,-17.5667,-149.8667,77.0,78,20,4.61,PF,1616947627
Sistranda,63.7256,8.834,48.2,43,0,12.66,NO,1616947629
Skjervøy,70.0311,20.9714,39.2,52,40,4.61,NO,1616947631
Xining,36.6167,101.7667,44.56,48,35,3.15,CN,1616947516
Ambilobe,-13.2,49.05,77.45,89,72,1.57,MG,1616947634
Vanimo,-2.6741,141.3028,76.32,90,93,3.91,PG,1616947636
Walvis Bay,-22.9575,14.5053,69.8,60,30,10.36,NA,1616947392
Senftenberg,51.5167,14.0167,53.01,58,100,4.0,DE,1616947639
Gualeguay,-33.1416,-59.3097,62.69,86,100,8.43,AR,1616947641
San Rafael,-34.6177,-68.3301,72.27,29,0,10.07,AR,1616947635
Kiunga,-6.1219,141.2906,72.54,99,100,1.72,PG,1616947645
Quincy,42.2529,-71.0023,51.01,76,90,14.97,US,1616947647
Teseney,15.11,36.6575,92.52,25,1,13.78,ER,1616947648
Ugoofaaru,5.6667,73.0,84.6,67,99,11.52,MV,1616947650
Seymchan,62.8833,152.4333,-16.67,99,74,1.03,RU,1616947654
Viedma,-40.8135,-62.9967,76.28,15,11,10.85,AR,1616947655
Carutapera,-1.195,-46.02,81.5,81,91,7.4,BR,1616947657
Gravdal,68.1214,13.5031,41.0,52,0,9.22,NO,1616947659
Koslan,63.4564,48.8989,32.16,86,100,10.2,RU,1616947661
Luganville,-15.5333,167.1667,79.52,85,36,8.3,VU,1616947663
Aksarayskiy,46.7924,48.0119,48.2,43,0,13.42,RU,1616947664
Toora-Khem,52.4675,96.11,23.52,93,90,0.98,RU,1616947666
Soe,-9.8607,124.284,66.15,90,100,3.2,ID,1616947668
Ahipara,-35.1667,173.1667,65.66,94,99,7.61,NZ,1616947670
El Dorado,38.7666,-120.5177,59.0,36,1,4.61,US,1616947672
Lethem,3.3803,-59.7968,86.0,62,75,13.8,GY,1616947673
Tilichiki,60.4667,166.1,-4.74,89,93,8.68,RU,1616947507
Marabba,12.35,32.1833,91.18,11,0,15.48,SD,1616947677
Shenjiamen,29.9576,122.298,55.71,89,0,7.65,CN,1616947679
Sabla,12.7525,4.7077,97.5,6,0,11.14,NG,1616947681
Mandalgovi,45.7625,106.2708,31.84,28,64,7.23,MN,1616947683
Clyde River,70.4692,-68.5914,-7.6,84,1,3.44,CA,1616947684
Phan Thiet,10.9333,108.1,76.17,91,33,6.22,VN,1616947686
Atchison,39.563,-95.1216,46.0,72,0,9.17,US,1616947688
Columbus,39.9612,-82.9988,51.8,76,90,28.77,US,1616947690
Oistins,13.0667,-59.5333,84.2,58,40,28.77,BB,1616947581
Cortez,37.3489,-108.5859,46.0,48,1,1.23,US,1616947693
Snåase,64.2457,12.3778,39.99,80,77,7.27,NO,1616947695
Tessalit,20.1986,1.0114,88.48,5,0,12.91,ML,1616947533
Vila Velha,-20.3297,-40.2925,89.6,58,20,10.36,BR,1616947698
Samarai,-10.6167,150.6667,81.91,79,49,12.24,PG,1616947700
Ayacucho,-13.1583,-74.2239,68.0,42,75,3.44,PE,1616947702
Fort Nelson,58.8053,-122.7002,14.0,85,90,11.5,CA,1616947603
Sohag,26.557,31.6948,75.2,19,0,20.71,EG,1616947705
Kontagora,10.3999,5.4695,101.21,9,5,5.64,NG,1616947707
Asău,46.4333,26.4,42.01,49,81,4.32,RO,1616947709
Port Hedland,-20.3167,118.5667,82.4,57,66,6.91,AU,1616947711
Chalon-sur-Saône,46.7833,4.85,62.01,37,42,1.01,FR,1616947476
Pavlivka,49.4414,28.4596,44.6,87,75,11.18,UA,1616947716
Souillac,-20.5167,57.5167,80.6,83,40,1.79,MU,1616947718
Luwuk,-0.9516,122.7875,78.17,86,100,2.73,ID,1616947637
Sakon Nakhon,17.1612,104.1472,90.0,50,54,2.06,TH,1616947721
Bibiani,6.4635,-2.3194,92.7,39,38,5.53,GH,1616947723
San Patricio,28.017,-97.5169,66.0,72,90,23.02,US,1616947725
Blackwater,-23.5833,148.8833,71.35,70,32,8.21,AU,1616947727
Tambacounda,13.7539,-13.7586,107.6,31,0,4.61,SN,1616947728
Pitimbu,-7.4706,-34.8086,86.0,74,75,6.91,BR,1616947732
Camaná,-16.6228,-72.7111,73.85,72,99,7.65,PE,1616947735
Xixiang,35.1628,112.865,61.7,32,43,10.67,CN,1616947737
Wewak,-3.5534,143.6268,78.21,87,97,2.93,PG,1616947739
Havelock,34.8791,-76.9013,73.0,91,100,14.0,US,1616947741
Hualmay,-11.0964,-77.6139,75.15,71,73,9.4,PE,1616947743
Kurayoshi,35.4333,133.8167,53.6,94,18,11.5,JP,1616947744
Ust-Nera,64.5667,143.2,-3.77,99,96,3.78,RU,1616947746
Ulaangom,49.9811,92.0667,16.07,80,100,5.37,MN,1616947748
Vallenar,-28.5708,-70.7581,75.96,40,0,5.46,CL,1616947493
Torres,-29.3353,-49.7269,76.44,80,65,1.77,BR,1616947462
Haysville,37.5645,-97.3523,52.0,40,1,1.99,US,1616947753
Santa Isabel,-23.3156,-46.2214,87.8,40,75,5.75,BR,1616947755
Kandi,11.1342,2.9386,99.86,8,0,8.14,BJ,1616947757
Ipixuna,-1.7625,-48.8043,84.2,74,75,6.91,BR,1616947759
Marzuq,14.4,46.4667,73.36,33,1,10.71,YE,1616947581
Tāybād,34.74,60.7756,44.64,77,100,24.56,IR,1616947764
Acapulco de Juárez,16.8634,-99.8901,84.2,34,1,2.3,MX,1616947765
Thinadhoo,0.5333,72.9333,79.57,84,100,11.16,MV,1616947523
Cubará,7.0008,-72.1085,74.93,86,100,1.61,CO,1616947769
Kargil,34.5667,76.1,36.45,76,99,8.28,IN,1616947771
Camacupa,-12.0167,17.4833,69.1,87,100,2.13,AO,1616947772
São Miguel do Araguaia,-13.275,-50.1628,87.33,55,100,3.96,BR,1616947774
Biak,-0.9131,122.8766,76.73,83,100,2.66,ID,1616947776
Naugachhia,25.4,87.1,83.05,12,0,4.81,IN,1616947778
Sabha,27.0377,14.4283,72.86,12,76,13.09,LY,1616947780
Sancti Spíritus,21.9297,-79.4425,87.89,38,75,11.05,CU,1616947782
Shahrud,36.4182,54.9763,36.37,50,1,12.03,IR,1616947783
Shreveport,32.5251,-93.7502,64.99,42,1,14.97,US,1616947695
Hovorany,48.9549,16.9935,54.0,35,0,9.22,CZ,1616947787
Idappadi,11.5833,77.85,88.72,39,93,11.39,IN,1616947789
Talacogon,8.4167,125.8,72.59,98,94,1.05,PH,1616947790
Tagusao,9.1924,117.8141,80.29,80,79,6.49,PH,1616947794
São Félix do Xingu,-6.6447,-51.995,87.15,60,99,2.24,BR,1616947796
Gloversville,43.0528,-74.3438,46.99,100,90,14.97,US,1616947797
Kalmar,56.6616,16.3616,44.6,76,20,13.8,SE,1616947799
Biltine,14.5333,20.9167,88.23,12,70,17.69,TD,1616947801
Simití,7.9579,-73.9436,91.42,49,91,3.76,CO,1616947803
Belyy Yar,53.6039,91.3903,33.8,86,100,2.24,RU,1616947805
Najrān,17.4924,44.1277,87.8,13,0,11.5,SA,1616947806
Mackay,-21.15,149.2,73.4,78,40,3.44,AU,1616947808
Neiafu,-18.65,-173.9833,80.6,83,40,6.91,TO,1616947810
Sinnamary,5.3833,-52.95,81.39,78,97,15.61,GF,1616947812
Prado,-17.3411,-39.2208,84.45,60,0,11.97,BR,1616947814
Aksu,41.1231,80.2644,60.42,30,100,0.89,CN,1616947816
Crateús,-5.1783,-40.6775,83.98,63,95,6.08,BR,1616947817
Betanzos,43.2804,-8.2147,73.0,40,0,6.91,ES,1616947819
Dingcheng,32.1272,115.0394,60.53,68,0,5.97,CN,1616947821
Cairns,-16.9167,145.7667,78.8,73,40,10.36,AU,1616947823
